chi.40727635	[["no_content","no_content",""],["no_content","no_content","stamp"],["no_content","no_content",""],["no_content","no_content",""],["factual","title",""],["no_content","no_content",""],["factual","title",""],["factual","pub_info",""],["factual","list",""],["factual","list",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""]]
coo.31924000431662	[["no_content","no_content",""],["no_content","no_content","barcode, due date slip"],["factual","title",""],["factual","pub_info",""],["factual","list",""],["no_content","no_content",""],["creative","pref_text","foreword"],["creative","pref_text","foreword"],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["factual","main_text","data table"],["factual","main_text","data table"],["factual","main_text","data table"],["factual","main_text","data table"],["creative","main_text",""]]
coo.31924001144959	[["no_content","no_content","binding"],["no_content","no_content","library bookplate"],["no_content","no_content","due date slip, barcode"],["no_content","no_content",""],["no_content","no_content",""],["no_content","no_content",""],["factual","title",""],["no_content","no_content",""],["no_content","no_content",""],["no_content","no_content",""],["factual","title",""],["factual","pub_info",""],["no_content","no_content",""],["no_content","no_content",""],["creative","pref_text","preface"],["creative","pref_text","preface"],["creative","pref_text","preface"],["no_content","no_content",""],["creative","main_text",""],["no_content","no_content",""]]
coo.31924073896007	[["factual","cover",""],["no_content","no_content","stamp"],["no_content","no_content","due date slip"],["no_content","no_content",""],["no_content","no_content",""],["no_content","no_content",""],["factual","title",""],["no_content","no_content","cutter"],["no_content","no_content",""],["no_content","no_content",""],["factual","list",""],["no_content","no_content",""],["creative","pref_text","biography"],["no_content","no_content",""],["creative","pref_text","acknowledgements"],["no_content","no_content",""],["creative","pref_text","abstract"],["no_content","no_content",""],["creative","pref_text","abstract"],["no_content","no_content",""]]
coo.31924080009719	[["mixed","cover","cover art photo"],["mixed","pub_info",""],["creative","ad",""],["creative","image","incorporates photos into index"],["creative","image","incorporates photos into index"],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""],["creative","image",""]]
coo.31924094241217	[["no_content","no_content","cutter"],["no_content","no_content","bookplate"],["no_content","no_content","date slip"],["no_content","no_content",""],["no_content","no_content",""],["no_content","no_content",""],["factual","title",""],["no_content","no_content",""],["factual","list",""],["no_content","no_content","cutter"],["creative","main_text",""],["no_content","no_content",""],["creative","main_text",""],["no_content","no_content",""],["creative","main_text",""],["no_content","no_content",""],["creative","main_text",""],["no_content","no_content",""],["creative","main_text",""],["no_content","no_content",""]]
coo.31924098538329	[["factual","cover",""],["no_content","no_content",""],["factual","title",""],["no_content","no_content","handwritten cutter"],["creative","pref_text","acknowledgement"],["creative","pref_text","summary"],["factual","appendix",""],["factual","list",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""]]
ien.35556003776788	[["no_content","no_content",""],["no_content","no_content","library sticker"],["no_content","no_content",""],["no_content","no_content",""],["creative","pref_text","foreword"],["no_content","no_content",""],["factual","list",""],["no_content","no_content",""],["factual","title","Section title"],["no_content","no_content","hand written cutter"],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text","has data table"],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""]]
inu.30000070597756	[["no_content","no_content","binding"],["no_content","no_content",""],["no_content","no_content",""],["no_content","no_content",""],["factual","cover","title, list of contents"],["factual","pub_info",""],["factual","list",""],["no_content","no_content",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["factual","main_text","data table"],["creative","main_text",""],["factual","main_text","data table"],["creative","main_text",""]]
inu.30000081728184	[["factual","cover",""],["no_content","no_content",""],["no_content","no_content",""],["no_content","no_content",""],["factual","title",""],["factual","pub_info",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""],["factual","main_text","data plots"],["factual","main_text","data plots"],["factual","main_text","data plots"],["creative","main_text",""],["creative","main_text",""],["creative","main_text",""]]
